Restaurant Name,Location,Category,Dish Name,Price (INR),Rating,Rating Count
Go Native,Ashok Nagar,Choice Of Rice,Jeera Rice (jain),150,0,0
Go Native,Ashok Nagar,Choice Of Rice,Saffron Pulao (jain),180,0,0
Go Native,Ashok Nagar,Choice Of Rice,Kashmiri Pulao,180,0,0
Go Native,Ashok Nagar,Choice Of Rice,Brown Rice (jain),120,0,0
Go Native,Ashok Nagar,Choice Of Rice,Coconut Rice (jain),120,0,0
Go Native,Ashok Nagar,Soup,Curried Pumpkin & Coconut Soup ( Vegan ),280,0,0
Go Native,Ashok Nagar,Soup,Makkhai Badam Shorba ( Jain ),290,3.9,4
Go Native,Ashok Nagar,Soup,Tulsi Nimbenu Soup ( Vegan ),280,4.7,15
Go Native,Ashok Nagar,Crafted Coffee,Bounty,280,0,0
Go Native,Ashok Nagar,Crafted Coffee,Floral Potion,290,0,0
Go Native,Ashok Nagar,Crafted Coffee,Salted Caramel & Espresso,280,0,0
Chinese Wok,Malleshwaram,Recommended,Hunan Paneer Dry - Mini,189,4.5,5
Chinese Wok,Malleshwaram,Recommended,Hunan Paneer Dry - Full,359,3.8,6
Chinese Wok,Malleshwaram,Recommended,Schezwan Paneer Dry - Mini,189,0,0
Chinese Wok,Malleshwaram,Recommended,Schezwan Paneer Dry - Full,359,4.9,5
Chinese Wok,Malleshwaram,Recommended,Hunan Chicken Dry - Mini,209,4.2,8
Chinese Wok,Malleshwaram,Recommended,Hunan Chicken Dry - Full,379,4.3,2
Chinese Wok,Malleshwaram,Recommended,Schezwan Chicken Dry - Mini,209,4.5,8
Chinese Wok,Malleshwaram,Recommended,Schezwan Chicken Dry - Full,379,4.3,1
Chinese Wok,Malleshwaram,Recommended,Hunan Paneer Bowl,319,4.2,9
Chinese Wok,Malleshwaram,Recommended,Hunan Chicken Bowl,319,4.1,5
Chinese Wok,Malleshwaram,Recommended,Veg Chinese Fried Rice - Half (500 ml).,269,0,0
Chinese Wok,Malleshwaram,Recommended,Veg Chinese Hakka Noodles - Half (500 ml).,269,0,0
Chinese Wok,Malleshwaram,Recommended,Veg Chilli Garlic Noodles - Half (500 ml).,269,0,0
Chinese Wok,Malleshwaram,Recommended,Veg Schezwan Noodles - Half (500 ml).,269,0,0
Chinese Wok,Malleshwaram,Recommended,Chicken Fried Rice - Half (500 ml).,309,0,0
Chinese Wok,Malleshwaram,Recommended,Chicken Hakka Noodles - Half (500 ml).,309,0,0
Chinese Wok,Malleshwaram,Recommended,Chicken Chilli Garlic Noodles - Half (500 ml).,309,0,0
Chinese Wok,Malleshwaram,Recommended,Black forest Mousse Cake,59,3.8,11
Chinese Wok,Malleshwaram,Recommended,Salted Caramel Choco Mousse,59,4.1,7
Chinese Wok,Malleshwaram,Pot Rice,Veg Manchurian Pot Rice,425,4.3,2
Chinese Wok,Malleshwaram,Pot Rice,Paneer Pot Rice,425,3.9,1
Chinese Wok,Malleshwaram,Pot Rice,Chicken Pot Rice,455,5,4
Chinese Wok,Malleshwaram,Dessert,Chocolate Mousse - Small,59,4.3,30
Chinese Wok,Malleshwaram,Dessert,Black forest Mousse Cake,59,3.8,11
Chinese Wok,Malleshwaram,Dessert,Salted Caramel Choco Mousse,59,4.1,7
Chinese Wok,Malleshwaram,Dessert,Choco Lava,99,4.7,21
Chinese Wok,Malleshwaram,Drinks,Pepsi Pet Bottle,57,3.9,32
Chinese Wok,Malleshwaram,Drinks,7 Up,57,4.1,12
Chinese Wok,Malleshwaram,Drinks,Coolberg Peach,118.75,0,0
Chinese Wok,Malleshwaram,Drinks,Coolberg Cranberry,118.75,4.6,2
Chinese Wok,Malleshwaram,Drinks,Peach Ice Tea,99,4.3,1
Chinese Wok,Malleshwaram,Drinks,Aam Panna,99,4.3,1
Chinese Wok,Malleshwaram,Drinks,Masala Shikanji,99,4.2,1
Chinese Wok,Malleshwaram,Drinks,Lemon Ice Tea,99,4.4,1
Chinese Wok,Malleshwaram,Drinks,Water,28.5,4.2,2
Chinese Wok,Malleshwaram,Extra Dip & Crispy Noodles,Crispy Noodles,20,4.6,7
Chinese Wok,Malleshwaram,Extra Dip & Crispy Noodles,Extra Schezwan Dip,20,4.8,8
Chinese Wok,Malleshwaram,Extra Dip & Crispy Noodles,Extra Mayo Dip,20,0,0
Chinese Wok,Malleshwaram,Extra Dip & Crispy Noodles,Extra Sweet Chilli Dip,20,0,0
Chinese Wok,Malleshwaram,Extra Dip & Crispy Noodles,Extra Momo Chutney,20,4.2,2
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Kara Kozhukattai (2 Pcs),60,4.6,16
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Sweet Kozhukattai (2 Pcs),60,4.9,20
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Green Peas Masala,240,4.2,40
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Palak Mushroom,290,4.6,7
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Kaju Masala,300,4.4,76
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Palak Paneer,300,4.4,65
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Kadai Vegetable,290,4.5,32
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Panneer Butter Masala,290,4.6,202
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Mushroom Masala,290,3.7,53
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Kadai Panneer,310,4.5,72
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Navarathna Kuruma,250,4.8,7
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Malai Koftha,280,3.9,18
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Veg Mix Masala Curry,250,4.7,62
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Dhal Makhani,240,4.2,9
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Kaju Mutter,295,4.1,10
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Paneer Tikka Masala,310,4.5,61
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Dhal Fry,230,4.6,34
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Dhal Thadka,225,5,23
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Alu Gobi Masala,280,5,9
A2B - Adyar Ananda Bhavan,Shanti Nagar,Recommended,Veg Kollapuri,290,4.6,6
Pizza Hut,Central Bangalore,Recommended,Margherita,169,4.5,321
Pizza Hut,Central Bangalore,Recommended,Veggie Feast,259,4.6,128
Pizza Hut,Central Bangalore,Recommended,Tandoori Paneer,319,4.4,140
Pizza Hut,Central Bangalore,Recommended,Country Feast,319,4.2,47
Pizza Hut,Central Bangalore,Recommended,Veggie Supreme,379,3.8,115
Pizza Hut,Central Bangalore,Recommended,Chicken Sausage,259,4.3,90
Pizza Hut,Central Bangalore,Recommended,Murg Malai Chicken,379,4.2,16
Pizza Hut,Central Bangalore,Recommended,Chicken Supreme,409,4.1,71
Pizza Hut,Central Bangalore,Recommended,Triple Chicken Feast,409,4.7,46
Pizza Hut,Central Bangalore,Recommended,Classic Onion Capsicum,109,4.1,237
Pizza Hut,Central Bangalore,Recommended,Cheesy Spicy Delight,169,4.2,32
Pizza Hut,Central Bangalore,Recommended,Chilli Paneer Sizzle,189,4.5,49
Pizza Hut,Central Bangalore,Recommended,Classic Chicken Pepperoni & Onion,159,4.4,7
Pizza Hut,Central Bangalore,Recommended,Classic Herbed Chicken & Capsicum,179,5,6
Pizza Hut,Central Bangalore,Recommended,Chatpata Chicken Feast,199,3.5,12
Pizza Hut,Central Bangalore,Recommended,Bold BBQ Veggie Thin n Crispy,749,5,3
Pizza Hut,Central Bangalore,Recommended,Spicy Schezwan Pasta Chicken,199,3.8,6
Pizza Hut,Central Bangalore,Recommended,Spicy Red Schezwan Pasta,179,3.5,4
Pizza Hut,Central Bangalore,Recommended,Sprinkled Fries - New,109,4,74
Pizza Hut,Central Bangalore,Recommended,Spicy Baked Chicken Wings 4pc,209,3.6,5
Pizza Hut,Central Bangalore,Flash Sale Pizzas,Chicken Pepperoni Pizza - Medium,639,0,0
Pizza Hut,Central Bangalore,Flash Sale Pizzas,Bold BBQ Veggies Pizza - Medium,569,0,0
Pizza Hut,Central Bangalore,Veg Pizza,Schezwan Margherita,219,4.3,17
Pizza Hut,Central Bangalore,Veg Pizza,Mexican Fiesta,319,3,9
Pizza Hut,Central Bangalore,Veg Pizza,Bold BBQ Veggies,319,4,2
Pizza Hut,Central Bangalore,Veg Pizza,Ultimate Tandoori Veggie,379,3.3,6
Pizza Hut,Central Bangalore,Veg Pizza,Mazedar Makhni Paneer,379,3.9,6
Pizza Hut,Central Bangalore,Veg Pizza,Margherita,169,4.5,321
Pizza Hut,Central Bangalore,Veg Pizza,Corn & Cheese,219,4.1,170
Pizza Hut,Central Bangalore,Veg Pizza,Veggie Feast,259,4.6,128
Pizza Hut,Central Bangalore,Veg Pizza,Spiced Paneer,259,3.4,48
Pizza Hut,Central Bangalore,Veg Pizza,Tandoori Paneer,319,4.4,140
Pizza Hut,Central Bangalore,Veg Pizza,Country Feast,319,4.2,47
Pizza Hut,Central Bangalore,Veg Pizza,Veggie Supreme,379,3.8,115
Pizza Hut,Central Bangalore,Veg Pizza,Margherita Pizza,169,4.2,424
Pizza Hut,Central Bangalore,Non Veg Pizza,Sausage & Sweet Corn.,289,4.7,6
Pizza Hut,Central Bangalore,Non Veg Pizza,Dhabe Da Keema,319,1.6,3
Pizza Hut,Central Bangalore,Non Veg Pizza,Sizzling Schezwan Chicken,319,4.4,5
Pizza Hut,Central Bangalore,Non Veg Pizza,Nawabi Murg Makhni,409,4.2,4
Pizza Hut,Central Bangalore,Non Veg Pizza,Chicken Sausage,259,4.3,90
Pizza Hut,Central Bangalore,Non Veg Pizza,Murg Malai Chicken,379,4.2,16
Pizza Hut,Central Bangalore,Non Veg Pizza,Chicken Tikka,379,3.8,41
Pizza Hut,Central Bangalore,Non Veg Pizza,Chicken Pepperoni,379,4.2,74
Pizza Hut,Central Bangalore,Non Veg Pizza,Chicken Supreme,409,4.1,71
Pizza Hut,Central Bangalore,Non Veg Pizza,Chicken Tikka Supreme,409,4,24
Pizza Hut,Central Bangalore,Non Veg Pizza,Triple Chicken Feast,409,4.7,46
Pizza Hut,Central Bangalore,Thin n Crispy Pizzas,Bold BBQ Veggie Thin n Crispy,749,5,3
Pizza Hut,Central Bangalore,Thin n Crispy Pizzas,Tandoori Paneer Thin n Crispy,749,3.6,2
Pizza Hut,Central Bangalore,Thin n Crispy Pizzas,Mexican Fiesta Thin n Crispy,749,3.8,2
Pizza Hut,Central Bangalore,Thin n Crispy Pizzas,Dhabe Da Keema Thin n Crispy,749,0,0
Pizza Hut,Central Bangalore,Thin n Crispy Pizzas,Chicken Pepperoni Thin n Crispy,849,0,0
Pizza Hut,Central Bangalore,Thin n Crispy Pizzas,Chicken Supreme Thin n Crispy,949,0,0
Pizza Hut,Central Bangalore,Hut Café,Cold Coffee,149,0,0
Pizza Hut,Central Bangalore,Hut Café,Cold Chocolate,149,3.8,1
Pizza Hut,Central Bangalore,Hut Café,Frappe Mocha,169,0,0
Pizza Hut,Central Bangalore,Hut Café,Masala Pop,129,0,0
Pizza Hut,Central Bangalore,Hut Café,Lemon Mint Mojito,129,3.6,1
Pizza Hut,Central Bangalore,Hut Café,Masala Lemonade,109,0,0
Pizza Hut,Central Bangalore,Hut Café,Masala Pepsi,109,0,0
Pizza Hut,Central Bangalore,Hut Café,Pepsi Glass,99,4.1,1
Pizza Hut,Central Bangalore,Hut Café,7Up Glass,99,0,0
Pizza Hut,Central Bangalore,Pasta,Spicy Schezwan Pasta Chicken,199,3.8,6
Pizza Hut,Central Bangalore,Pasta,Cosy Comfort White Sauce Pasta,189,5,6
Pizza Hut,Central Bangalore,Pasta,Cosy Comfort White Sauce Chicken Pasta,209,4.2,3
Pizza Hut,Central Bangalore,Pasta,Classic Mushroom Pasta,209,4,13
Pizza Hut,Central Bangalore,Pasta,Tomato Twist Red Sauce Pasta,169,3.7,16
Pizza Hut,Central Bangalore,Pasta,Spicy Red Schezwan Pasta,179,3.5,4
Pizza Hut,Central Bangalore,Pasta,Tandoori Murg Pasta,189,5,4
Pizza Hut,Central Bangalore,Pasta,Tandoori Paneer Pasta,169,4.1,22
Pizza Hut,Central Bangalore,Pasta,Penne McN Cheese Pasta,209,4.3,13
Pizza Hut,Central Bangalore,Pasta,Penne McN Cheese & Chicken Pasta,229,2.8,5
Pizza Hut,Central Bangalore,One Plus One Medium @649,Super Value Deal : 2 Medium Veg Pizzas starting at Rs 719 (Save Upto 41%).,649,0,0
Pizza Hut,Central Bangalore,One Plus One Medium @649,Super Value Deal : 2 Medium Non-Veg Pizzas starting at Rs 749 (Save Upto 39%).,749,4.7,12
Pizza Hut,Central Bangalore,Garlic Bread,Cheese Garlic Bread,159,4,272
Pizza Hut,Central Bangalore,Garlic Bread,Exotica Veggie Garlic Bread,159,4.2,16
Pizza Hut,Central Bangalore,Garlic Bread,Classic Bread Stix,119,4.3,134
Pizza Hut,Central Bangalore,Garlic Bread,Loaded Bread Stix,169,4.3,66
Pizza Hut,Central Bangalore,Garlic Bread,Garlic Bread Spicy Supreme,169,4.4,118
Pizza Hut,Central Bangalore,Garlic Bread,Masala Keema Garlic Bread,189,3.8,15
Pizza Hut,Central Bangalore,Appetizer,Cheezy Sprinkled Fries,109,4.5,25
Pizza Hut,Central Bangalore,Appetizer,BBQ Baked Chicken Wings 6pc,269,4.2,2
Pizza Hut,Central Bangalore,Appetizer,BBQ Baked Chicken Wings 4pc,219,4.2,1
